word,documents,data
content,5,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpsmy.auth.gr.txt', 1], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 7]]"
controlled,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
cookies,4,"[['httpauth.gr#primary.txt', 4], ['httpauth.gr.txt', 4], ['httpswww.auth.gr.txt', 4], ['httpswww.auth.gren.txt', 4]]"
cookies.,4,"[['httpauth.gr#primary.txt', 5], ['httpauth.gr.txt', 5], ['httpswww.auth.gr.txt', 5], ['httpswww.auth.gren.txt', 5]]"
covers,1,"[['httpswww.auth.gren.txt', 1]]"
days,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
e-Study,1,"[['httpswww.auth.gren.txt', 2]]"
e-University,1,"[['httpsmy.auth.gr.txt', 1]]"
e-Οδηγός,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
educational,1,"[['httpswww.auth.gren.txt', 3]]"
even,1,"[['httpswww.auth.gren.txt', 1]]"
experience,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
f...,1,"[['httpswww.auth.gren.txt', 2]]"
facebook,1,"[['httpsmy.auth.gr.txt', 1]]"
facilities,1,"[['httpswww.auth.gren.txt', 3]]"
faculties,1,"[['httpswww.auth.gren.txt', 2]]"
for:,1,"[['httpswww.auth.gren.txt', 6]]"
give,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
hectares.,1,"[['httpswww.auth.gren.txt', 4]]"
hereHome,1,"[['httpsmy.auth.gr.txt', 1]]"
in,1,"[['httpswww.auth.gren.txt', 11]]"
largest,1,"[['httpswww.auth.gren.txt', 2]]"
located,1,"[['httpswww.auth.gren.txt', 4]]"
logo,1,"[['httpswww.auth.gren.txt', 1]]"
"m2,",3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
main,2,"[['httpsmy.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 4]]"
may,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
